Date,AccountID,AccountName,StatementLine,Category,Amount,Method,Scenario,Notes
2025-02-14,ADJ101,Accumulated Depreciation,Balance Sheet,ContraAsset,148,NonCash,Base,Accumulate depreciation
2025-02-16,BNK005,Loan Payment,Cash Flow,Financing,-422,Accrual,Base,Monthly payment
2025-02-16,LIA201,Loan Interest,Operating Expenses,OpEx,-69,Accrual,Base,Interest portion
2025-02-16,LIA200,Loan Payable,Balance Sheet,Liability,-353,Accrual,Base,Principal portion
2025-02-18,REV240,Custom Feature B,Revenue,Revenue,1860,Accrual,Conservative,Feature billed
2025-02-20,OPE360,Insurance,Operating Expenses,OpEx,-160,Accrual,Base,Business policy
2025-02-22,OPE370,Travel,Operating Expenses,OpEx,-210,Accrual,Base,Client visits
2025-02-24,BNK001,Bank Deposit,Cash Flow,Other,1820,Accrual,Base,Collections
2025-02-24,AR001,Accounts Receivable,Balance Sheet,Asset,-1820,Accrual,Base,AR settled
2025-03-01,REV300,Website Project C,Revenue,Revenue,2700,Accrual,Base,Project billed
2025-03-02,AR001,Accounts Receivable,Balance Sheet,Asset,2700,Accrual,Base,Invoice issued
2025-03-03,COG200,Contractor Fees,COGS,COGS,-1015,Accrual,Base,Subcontractor for project C
2025-03-04,OPE300,Software Subscriptions,Operating Expenses,OpEx,-119,Accrual,Base,SaaS tools
2025-03-05,REV310,SEO Package C,Revenue,Revenue,1245,Accrual,Base,SEO billed
2025-03-06,OPE340,Rent,Operating Expenses,OpEx,-905,Accrual,Base,Office lease
2025-03-07,OPE350,Utilities,Operating Expenses,OpEx,-146,Accrual,Base,Power + internet
2025-03-08,HR500,Payroll,Operating Expenses,OpEx,-2330,Accrual,Base,Salaries and wages
2025-03-08,TXP100,Payroll Taxes,Operating Expenses,OpEx,-295,Accrual,Base,Employer payroll taxes
2025-03-10,COG210,Design Subcontract,COGS,COGS,-473,Accrual,Base,Design tasks
2025-03-12,REV330,Maintenance Plan C,Revenue,Revenue,342,Accrual,Stretch,Recurring support
2025-03-14,ADJ001,Depreciation Expense,Operating Expenses,OpEx,-148,NonCash,Base,Monthly depreciation
2025-03-14,ADJ101,Accumulated Depreciation,Balance Sheet,ContraAsset,148,NonCash,Base,Accumulate depreciation
2025-03-15,BNK005,Loan Payment,Cash Flow,Financing,-422,Accrual,Base,Monthly payment
2025-03-15,LIA201,Loan Interest,Operating Expenses,OpEx,-67,Accrual,Base,Interest portion
2025-03-15,LIA200,Loan Payable,Balance Sheet,Liability,-355,Accrual,Base,Principal portion
2025-03-18,BNK001,Bank Deposit,Cash Flow,Other,2700,Accrual,Base,AR collection
2025-03-18,AR001,Accounts Receivable,Balance Sheet,Asset,-2700,Accrual,Base,AR settled
2025-03-20,BNK007,Equity Injection,Cash Flow,Financing,2050,Accrual,Base,Owner contribution
2025-03-20,EQ200,Contributed Capital,Balance Sheet,Equity,2050,Accrual,Base,Increase equity
2025-03-22,OPE380,Professional Fees,Operating Expenses,OpEx,-305,Accrual,Base,CPA consultation
2025-03-24,REV340,Custom Feature C,Revenue,Revenue,1900,Accrual,Conservative,Feature billed
2025-03-26,OPE390,Maintenance & Repairs,Operating Expenses,OpEx,-111,Accrual,Base,Equipment tune-up
2025-03-28,BNK008,Sales Tax Payment,Cash Flow,Operating,-222,Accrual,Base,Quarterly sales tax remittance
2025-03-30,ADJ200,AR Adjustment,Balance Sheet,Asset,-100,Accrual,Base,Uncollectible AR write-off
2025-03-30,ADJ201,Bad Debt Expense,Operating Expenses,OpEx,-100,Accrual,Base,Recognize bad debt expense
2025-03-31,REV399,Quarter-End True-Up,Revenue,Revenue,150,Accrual,Base,Minor true-up entry
