Date,AccountID,AccountName,StatementLine,Category,Amount,Method,Scenario,Notes
2025-01-28,BNK003,Loan Proceeds,Cash Flow,Financing,5200,Accrual,Base,Working capital loan
2025-01-28,LIA200,Loan Payable,Balance Sheet,Liability,5200,Accrual,Base,Loan principal recognized
2025-01-29,BNK004,Equipment Purchase,Cash Flow,Investing,-2300,Accrual,Base,Hardware purchase
2025-01-29,AST300,Equipment,Balance Sheet,Asset,2300,Accrual,Base,Capitalize equipment
2025-01-30,BNK005,Loan Payment,Cash Flow,Financing,-430,Accrual,Base,Monthly payment
2025-01-30,LIA201,Loan Interest,Operating Expenses,OpEx,-72,Accrual,Base,Interest portion
2025-01-30,LIA200,Loan Payable,Balance Sheet,Liability,-358,Accrual,Base,Principal portion
2025-02-01,REV200,Website Project B,Revenue,Revenue,2650,Accrual,Base,Project billed
2025-02-02,AR001,Accounts Receivable,Balance Sheet,Asset,2650,Accrual,Base,Invoice issued net 15
2025-02-03,COG200,Contractor Fees,COGS,COGS,-990,Accrual,Base,Subcontractor for project B
2025-02-04,OPE300,Software Subscriptions,Operating Expenses,OpEx,-125,Accrual,Base,SaaS renewals
2025-02-05,REV210,SEO Package B,Revenue,Revenue,1220,Accrual,Base,SEO billed
2025-02-06,OPE340,Rent,Operating Expenses,OpEx,-920,Accrual,Base,Office lease
2025-02-07,BNK001,Bank Deposit,Cash Flow,Other,2650,Accrual,Base,AR collection
2025-02-07,AR001,Accounts Receivable,Balance Sheet,Asset,-2650,Accrual,Base,AR settled
2025-02-08,COG210,Design Subcontract,COGS,COGS,-460,Accrual,Base,Design tasks
2025-02-09,OPE350,Utilities,Operating Expenses,OpEx,-145,Accrual,Base,Power + internet
2025-02-10,HR500,Payroll,Operating Expenses,OpEx,-2300,Accrual,Base,Salaries and wages
2025-02-10,TXP100,Payroll Taxes,Operating Expenses,OpEx,-292,Accrual,Base,Employer payroll taxes
2025-02-11,REV230,Maintenance Plan B,Revenue,Revenue,340,Accrual,Stretch,Recurring revenue
2025-02-12,BNK006,Dividend Paid,Cash Flow,Financing,-320,Accrual,Base,Owner draw
2025-02-12,EQ100,Retained Earnings,Balance Sheet,Equity,-320,Accrual,Base,Dividend reduces equity
2025-02-14,ADJ001,Depreciation Expense,Operating Expenses,OpEx,-155,NonCash,Base,Monthly depreciation
2025-02-14,ADJ101,Accumulated Depreciation,Balance Sheet,ContraAsset,155,NonCash,Base,Accumulate depreciation
2025-02-16,BNK005,Loan Payment,Cash Flow,Financing,-430,Accrual,Base,Monthly payment
2025-02-16,LIA201,Loan Interest,Operating Expenses,OpEx,-70,Accrual,Base,Interest portion
2025-02-16,LIA200,Loan Payable,Balance Sheet,Liability,-360,Accrual,Base,Principal portion
2025-02-18,REV240,Custom Feature B,Revenue,Revenue,1900,Accrual,Conservative,Feature billed
2025-02-20,OPE360,Insurance,Operating Expenses,OpEx,-165,Accrual,Base,Business policy
2025-02-22,OPE370,Travel,Operating Expenses,OpEx,-220,Accrual,Base,Client visits
2025-02-24,BNK001,Bank Deposit,Cash Flow,Other,1900,Accrual,Base,Collections
2025-02-24,AR001,Accounts Receivable,Balance Sheet,Asset,-1900,Accrual,Base,AR settled
2025-03-01,REV300,Website Project C,Revenue,Revenue,2750,Accrual,Base,Project billed
2025-03-02,AR001,Accounts Receivable,Balance Sheet,Asset,2750,Accrual,Base,Invoice issued
2025-03-03,COG200,Contractor Fees,COGS,COGS,-1030,Accrual,Base,Subcontractor for project C
2025-03-04,OPE300,Software Subscriptions,Operating Expenses,OpEx,-125,Accrual,Base,SaaS tools
2025-03-05,REV310,SEO Package C,Revenue,Revenue,1280,Accrual,Base,SEO billed
2025-03-06,OPE340,Rent,Operating Expenses,OpEx,-920,Accrual,Base,Office lease
2025-03-07,OPE350,Utilities,Operating Expenses,OpEx,-150,Accrual,Base,Power + internet
2025-03-08,HR500,Payroll,Operating Expenses,OpEx,-2350,Accrual,Base,Salaries and wages
2025-03-08,TXP100,Payroll Taxes,Operating Expenses,OpEx,-298,Accrual,Base,Employer payroll taxes
2025-03-10,COG210,Design Subcontract,COGS,COGS,-480,Accrual,Base,Design tasks
2025-03-12,REV330,Maintenance Plan C,Revenue,Revenue,350,Accrual,Stretch,Recurring support
2025-03-14,ADJ001,Depreciation Expense,Operating Expenses,OpEx,-155,NonCash,Base,Monthly depreciation
2025-03-14,ADJ101,Accumulated Depreciation,Balance Sheet,ContraAsset,155,NonCash,Base,Accumulate depreciation
2025-03-15,BNK005,Loan Payment,Cash Flow,Financing,-430,Accrual,Base,Monthly payment
2025-03-15,LIA201,Loan Interest,Operating Expenses,OpEx,-69,Accrual,Base,Interest portion
2025-03-15,LIA200,Loan Payable,Balance Sheet,Liability,-361,Accrual,Base,Principal portion
2025-03-18,BNK001,Bank Deposit,Cash Flow,Other,2750,Accrual,Base,AR collection
2025-03-18,AR001,Accounts Receivable,Balance Sheet,Asset,-2750,Accrual,Base,AR settled
2025-03-20,BNK007,Equity Injection,Cash Flow,Financing,2200,Accrual,Base,Owner contribution
2025-03-20,EQ200,Contributed Capital,Balance Sheet,Equity,2200,Accrual,Base,Increase equity
2025-03-22,OPE380,Professional Fees,Operating Expenses,OpEx,-320,Accrual,Base,CPA consultation
2025-03-24,REV340,Custom Feature C,Revenue,Revenue,1950,Accrual,Conservative,Feature billed
2025-03-26,OPE390,Maintenance & Repairs,Operating Expenses,OpEx,-115,Accrual,Base,Equipment tune-up
2025-03-28,BNK008,Sales Tax Payment,Cash Flow,Operating,-230,Accrual,Base,Quarterly sales tax remittance
2025-03-30,ADJ200,AR Adjustment,Balance Sheet,Asset,-120,Accrual,Base,Uncollectible AR write-off
2025-03-30,ADJ201,Bad Debt Expense,Operating Expenses,OpEx,-120,Accrual,Base,Recognize bad debt expense
2025-03-31,REV399,Quarter-End True-Up,Revenue,Revenue,160,Accrual,Base,Minor true-up entry
