date,sku,product,channel,price,competitor_price,units_sold,variable_cost_per_unit,fixed_cost_alloc,promo,notes
2024-02-16,S5,Deluxe Bundle,online,61.40,60.40,33,33.20,505,true,Limited discount
2024-02-16,S6,Deluxe Bundle,retail,62.40,61.40,27,33.70,505,true,Limited discount
2024-02-16,S7,Starter Pack,wholesale,29.90,29.40,124,17.70,505,false,Bulk order
2024-02-16,S8,Pro Kit,wholesale,44.90,44.40,88,25.70,505,false,Bulk order
2024-02-16,S9,Deluxe Bundle,wholesale,57.90,57.40,69,32.70,505,false,Bulk order
2024-02-16,S10,Accessory Set,online,18.90,18.40,86,9.70,505,true,Promo add‑on
2024-02-23,S1,Starter Pack,online,34.40,33.65,64,18.20,505,false,
2024-02-23,S2,Starter Pack,retail,35.40,34.65,50,18.70,505,false,
2024-02-23,S3,Pro Kit,online,49.40,47.65,45,26.20,505,false,
2024-02-23,S4,Pro Kit,retail,50.40,48.65,39,26.70,505,false,
2024-02-23,S5,Deluxe Bundle,online,62.40,60.65,31,33.20,505,false,
2024-02-23,S6,Deluxe Bundle,retail,63.40,61.65,26,33.70,505,false,
2024-02-23,S7,Starter Pack,wholesale,30.40,29.65,121,17.70,505,false,
2024-02-23,S8,Pro Kit,wholesale,45.40,44.65,86,25.70,505,false,
2024-02-23,S9,Deluxe Bundle,wholesale,58.40,57.65,67,32.70,505,false,
2024-02-23,S10,Accessory Set,online,19.40,18.65,84,9.70,505,false,
2024-03-01,S1,Starter Pack,online,34.40,33.40,66,18.20,505,false,
2024-03-01,S2,Starter Pack,retail,35.40,34.40,52,18.70,505,false,
2024-03-01,S3,Pro Kit,online,49.40,47.40,46,26.20,505,false,
2024-03-01,S4,Pro Kit,retail,50.40,48.40,40,26.70,505,false,
2024-03-01,S5,Deluxe Bundle,online,62.40,60.40,33,33.20,505,false,
2024-03-01,S6,Deluxe Bundle,retail,63.40,61.40,27,33.70,505,false,
2024-03-01,S7,Starter Pack,wholesale,30.40,29.40,123,17.70,505,false,
2024-03-01,S8,Pro Kit,wholesale,45.40,44.40,87,25.70,505,false,
2024-03-01,S9,Deluxe Bundle,wholesale,58.40,57.40,68,32.70,505,false,
2024-03-01,S10,Accessory Set,online,19.40,18.40,85,9.70,505,false,
2024-03-08,S1,Starter Pack,online,34.40,33.65,67,18.20,505,false,
2024-03-08,S2,Starter Pack,retail,35.40,34.65,53,18.70,505,false,
2024-03-08,S3,Pro Kit,online,49.40,47.65,47,26.20,505,false,
2024-03-08,S4,Pro Kit,retail,50.40,48.65,41,26.70,505,false,
2024-03-08,S5,Deluxe Bundle,online,62.40,60.65,34,33.20,505,false,
2024-03-08,S6,Deluxe Bundle,retail,63.40,61.65,28,33.70,505,false,
2024-03-08,S7,Starter Pack,wholesale,30.40,29.65,122,17.70,505,false,
2024-03-08,S8,Pro Kit,wholesale,45.40,44.65,86,25.70,505,false,
2024-03-08,S9,Deluxe Bundle,wholesale,58.40,57.65,69,32.70,505,false,
2024-03-08,S10,Accessory Set,online,19.40,18.65,87,9.70,505,false,
