date,sku,product,channel,price,competitor_price,units_sold,variable_cost_per_unit,fixed_cost_alloc,promo,notes
2024-02-23,S9,Deluxe Bundle,wholesale,58.20,57.45,67,32.60,510,false,
2024-02-23,S10,Accessory Set,online,19.20,18.45,82,9.60,510,false,
2024-03-01,S1,Starter Pack,online,34.20,33.20,66,18.10,510,false,
2024-03-01,S2,Starter Pack,retail,35.20,34.20,52,18.60,510,false,
2024-03-01,S3,Pro Kit,online,49.20,47.20,46,26.10,510,false,
2024-03-01,S4,Pro Kit,retail,50.20,48.20,40,26.60,510,false,
2024-03-01,S5,Deluxe Bundle,online,62.20,60.20,33,33.10,510,false,
2024-03-01,S6,Deluxe Bundle,retail,63.20,61.20,27,33.60,510,false,
2024-03-01,S7,Starter Pack,wholesale,30.20,29.20,123,17.60,510,false,
2024-03-01,S8,Pro Kit,wholesale,45.20,44.20,88,25.60,510,false,
2024-03-01,S9,Deluxe Bundle,wholesale,58.20,57.20,68,32.60,510,false,
2024-03-01,S10,Accessory Set,online,19.20,18.20,84,9.60,510,false,
2024-03-08,S1,Starter Pack,online,34.20,33.45,67,18.10,510,false,
2024-03-08,S2,Starter Pack,retail,35.20,34.45,53,18.60,510,false,
2024-03-08,S3,Pro Kit,online,49.20,47.45,47,26.10,510,false,
2024-03-08,S4,Pro Kit,retail,50.20,48.45,41,26.60,510,false,
2024-03-08,S5,Deluxe Bundle,online,62.20,60.45,34,33.10,510,false,
2024-03-08,S6,Deluxe Bundle,retail,63.20,61.45,28,33.60,510,false,
2024-03-08,S7,Starter Pack,wholesale,30.20,29.45,122,17.60,510,false,
2024-03-08,S8,Pro Kit,wholesale,45.20,44.45,87,25.60,510,false,
2024-03-08,S9,Deluxe Bundle,wholesale,58.20,57.45,69,32.60,510,false,
2024-03-08,S10,Accessory Set,online,19.20,18.45,86,9.60,510,false,
