date,sku,product,channel,price,competitor_price,units_sold,variable_cost_per_unit,fixed_cost_alloc,promo,notes
2024-02-09,S10,Accessory Set,online,18.80,18.05,84,9.40,490,false,
2024-02-16,S1,Starter Pack,online,33.30,32.30,66,17.90,490,true,Valentine promo
2024-02-16,S2,Starter Pack,retail,34.30,33.30,52,18.40,490,true,Valentine promo
2024-02-16,S3,Pro Kit,online,47.80,46.80,47,25.90,490,true,Limited discount
2024-02-16,S4,Pro Kit,retail,48.80,47.80,41,26.40,490,true,Limited discount
2024-02-16,S5,Deluxe Bundle,online,60.80,59.80,33,32.90,490,true,Limited discount
2024-02-16,S6,Deluxe Bundle,retail,61.80,60.80,27,33.40,490,true,Limited discount
2024-02-16,S7,Starter Pack,wholesale,29.30,28.80,125,17.40,490,false,Bulk order
2024-02-16,S8,Pro Kit,wholesale,44.30,43.80,90,25.40,490,false,Bulk order
2024-02-16,S9,Deluxe Bundle,wholesale,57.30,56.80,70,32.40,490,false,Bulk order
2024-02-16,S10,Accessory Set,online,18.30,17.80,87,9.40,490,true,Promo add‑on
2024-02-23,S1,Starter Pack,online,33.80,33.05,65,17.90,490,false,
2024-02-23,S2,Starter Pack,retail,34.80,34.05,51,18.40,490,false,
2024-02-23,S3,Pro Kit,online,48.80,47.05,45,25.90,490,false,
2024-02-23,S4,Pro Kit,retail,49.80,48.05,39,26.40,490,false,
2024-02-23,S5,Deluxe Bundle,online,61.80,60.05,31,32.90,490,false,
2024-02-23,S6,Deluxe Bundle,retail,62.80,61.05,26,33.40,490,false,
2024-02-23,S7,Starter Pack,wholesale,29.80,29.05,122,17.40,490,false,
2024-02-23,S8,Pro Kit,wholesale,44.80,44.05,88,25.40,490,false,
2024-02-23,S9,Deluxe Bundle,wholesale,57.80,57.05,69,32.40,490,false,
2024-02-23,S10,Accessory Set,online,18.80,18.05,86,9.40,490,false,
2024-03-01,S1,Starter Pack,online,33.80,32.80,67,17.90,490,false,
2024-03-01,S2,Starter Pack,retail,34.80,33.80,52,18.40,490,false,
2024-03-01,S3,Pro Kit,online,48.80,46.80,46,25.90,490,false,
2024-03-01,S4,Pro Kit,retail,49.80,47.80,40,26.40,490,false,
2024-03-01,S5,Deluxe Bundle,online,61.80,59.80,33,32.90,490,false,
2024-03-01,S6,Deluxe Bundle,retail,62.80,60.80,27,33.40,490,false,
2024-03-01,S7,Starter Pack,wholesale,29.80,28.80,124,17.40,490,false,
2024-03-01,S8,Pro Kit,wholesale,44.80,43.80,89,25.40,490,false,
2024-03-01,S9,Deluxe Bundle,wholesale,57.80,56.80,70,32.40,490,false,
2024-03-01,S10,Accessory Set,online,18.80,17.80,88,9.40,490,false,
2024-03-08,S1,Starter Pack,online,33.80,33.05,68,17.90,490,false,
2024-03-08,S2,Starter Pack,retail,34.80,34.05,53,18.40,490,false,
2024-03-08,S3,Pro Kit,online,48.80,47.05,47,25.90,490,false,
2024-03-08,S4,Pro Kit,retail,49.80,48.05,41,26.40,490,false,
2024-03-08,S5,Deluxe Bundle,online,61.80,60.05,34,32.90,490,false,
2024-03-08,S6,Deluxe Bundle,retail,62.80,61.05,28,33.40,490,false,
2024-03-08,S7,Starter Pack,wholesale,29.80,29.05,123,17.40,490,false,
2024-03-08,S8,Pro Kit,wholesale,44.80,44.05,87,25.40,490,false,
2024-03-08,S9,Deluxe Bundle,wholesale,57.80,57.05,70,32.40,490,false,
2024-03-08,S10,Accessory Set,online,18.80,18.05,89,9.40,490,false,
